Feature,Key
Utilidad Operacional del Trimestre / Activo Total,Ratio1
Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Ratio14
Margen EBITDA del Trimestre,Ratio2
Margen EBITDA del Trimestre (Promedio LTM),Ratio15
Margen Neto del Trimestre,Ratio10
Margen Neto del Trimestre (Promedio LTM),Ratio23
Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Ratio13
Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Ratio26
Total Activo / Total Patrimonio,Ratio12
Total Activo / Total Patrimonio (Promedio LTM),Ratio25
Deuda Neta / EBITDA del Trimestre Anualizado,Ratio3
Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Ratio16
Deuda de Corto Plazo / Deuda Total,Ratio4
Deuda de Corto Plazo / Deuda Total (Promedio LTM),Ratio17
Deuda Bruta / Activo,Ratio5
Deuda Bruta / Activo (Promedio LTM),Ratio18
EBITDA del Trimestre Anualizado / Intereses,Ratio6
EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),Ratio19
EBITDA del Trimestre Anualizado / Deuda Corto Plazo,Ratio7
EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Ratio20
Crecimiento del EBITDA Últimos 12 Meses EBITDA,Ratio9
Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ratio22
Ingresos del Trimestre Anualizados / Total Activo,Ratio11
Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Ratio24
Activo Corto Plazo / Pasivo Corto Plazo,Ratio8
Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Ratio21
Rating Soberano País de Origen Deuda LP Moneda Extranjera,SovereignRating
