Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
30/09/2012,IQ20504010,0.015493609,0.191809,1.817219693,0.23424649,0.303036854,10.48687103,1.176589807,1.853316939,79.611,0.128363446,0.43543631,1.86978499,12.5364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB-,BBB+
31/12/2012,IQ20504010,NaN,NaN,NaN,0.227724798,0.301980142,NaN,0,1.643702971,NaN,NaN,NaN,1.901670629,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB-,BBB+
31/03/2013,IQ20504010,0.006495762,0.126558,2.587306024,0.227923012,0.290142387,8.704167864,0.795518126,1.63103181,-36.7703,0.15027439,0.415680673,1.876551409,13.6748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB-,BBB+
30/06/2013,IQ20504010,NaN,NaN,NaN,0.181344826,0.331003492,NaN,0,1.964946917,NaN,NaN,NaN,1.973996083,0,0.010994686,0.1591835,2.202262858,0.217809781,0.306540719,9.595519445,0.493026983,1.773249659,21.42035,0.139318918,0.425558491,1.905500778,13.1056,BBB-,BBB+
30/09/2013,IQ20504010,0.014434292,0.216462,1.650706669,0.115161488,0.310879839,16.77370762,2.30116669,2.224857321,9.8707,0.141465395,0.380597768,1.890135525,12.3736,0.010465027,0.17151,2.119006346,0.188038531,0.308501465,12.73893774,0.774171204,1.866134755,-13.4498,0.145869892,0.39813922,1.910588412,13.0242,BBB-,BBB+
31/12/2013,IQ20504010,NaN,NaN,NaN,0.13077247,0.305250876,NaN,0,2.0013516,NaN,NaN,NaN,1.872603651,0,0.010465027,0.17151,2.119006346,0.163800449,0.309319149,12.73893774,0.774171204,1.955546912,-13.4498,0.145869892,0.39813922,1.903321667,13.0242,BBB-,BBB+
31/03/2014,IQ20504010,0.011575431,0.212136,1.840588921,0.224046692,0.322631193,16.48827609,1.129566166,1.67687039,83.8079,0.142623033,0.38489493,1.931546906,15.7776,0.013004862,0.214299,1.745647795,0.162831369,0.31744135,16.63099186,0.857683214,1.967006557,46.8393,0.142044214,0.382746349,1.917070541,14.0756,BBB-,BBB+
30/06/2014,IQ20504010,NaN,NaN,NaN,0.226777146,0.313113155,NaN,0,1.797931821,NaN,NaN,NaN,1.900560244,0,0.013004862,0.214299,1.745647795,0.174189449,0.312968766,16.63099186,0.857683214,1.925252783,46.8393,0.142044214,0.382746349,1.898711582,14.0756,BBB-,BBB+
30/09/2014,IQ20504010,0.009679666,0.170998,2.543816661,0.235370011,0.30956191,12.56671,0.868199603,1.749997893,-7.7745,0.153575809,0.369936511,1.871273894,11.574,0.010627549,0.191567,2.192202791,0.20424158,0.312639284,14.52749304,0.499441442,1.806537926,38.0167,0.148099421,0.377415721,1.893996174,13.6758,BBB-,BBB+
31/12/2014,IQ20504010,NaN,NaN,NaN,0.216459122,0.350466815,NaN,0,1.879733648,NaN,NaN,NaN,2.001045027,0,0.010627549,0.191567,2.192202791,0.225663243,0.323943268,14.52749304,0.499441442,1.776133438,38.0167,0.148099421,0.377415721,1.926106518,13.6758,BBB-,BBB+
