Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda de Corto Plazo / Deuda Total,Deuda de Corto Plazo / Deuda Total (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),EBITDA del Trimestre Anualizado / Deuda Corto Plazo,EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Local Trad
0.00966,0.0114,0.122272118,0.132964466,0.00974,0.0221,0.0309,0.0694,4.665814864,4.612901809,6.061374298,5.725954641,0.141357396,0.131282276,0.844469899,0.856115489,12.23119905,13.70853842,1.168223972,1.351653175,0.493234327,0.167491326,0.679278919,0.679087265,0.528399456,0.587626247,BBB+,2T17,B,AA-
0.0159,0.0121,0.15892203,0.137445,0.0311,0.021,0.108478392,0.068,5.016106506,4.687058935,4.985363103,5.604109134,0.138955036,0.135214276,0.837759559,0.849173796,15.56307199,14.04967616,1.532690794,1.360687736,0.231975215,0.193809135,0.694793093,0.683338089,0.649251635,0.593317545,BBB+,3T17,B,AA-
0.0082,0.0111,0.134372764,0.136297254,0.0131,0.0183,0.043985967,0.0605,5.121591401,4.849469492,6.39128295,5.829457138,0.152466623,0.142274899,0.831246294,0.841452493,11.84911598,13.25417324,1.053175125,1.24644703,-0.0191,0.182303243,0.65347285,0.672723666,0.665091607,0.609329568,BBB+,4T17,B,A-
0.0106,0.0111,0.137018848,0.13814644,0.00295,0.0142,0.0127,0.049018467,6.625877816,5.357347647,5.865520208,5.82588514,0.140775168,0.143388556,0.819764285,0.833310009,11.66659987,12.82749672,1.13517883,1.22231718,0.156759178,0.215713855,0.651328809,0.669718418,0.606034183,0.61219422,BBB+,1T18,B,A-
0.00291,0.0094,0.0839,0.128554574,-0.0297,0.00437,-0.137383934,0.00695,6.885546138,5.912280465,8.094433439,6.334149925,0.147257194,0.144863505,0.798668797,0.821859734,7.723227478,11.70050383,0.694714422,1.103939793,-0.246420226,0.0308,0.671051877,0.667661657,0.510808953,0.607796595,BBB+,2T18,B,A-
0.00936,0.00776,0.121807898,0.119276041,0.011409617,-0.000557,0.0536,-0.00677,6.973424379,6.401609933,6.401159978,6.688099144,0.16181201,0.150577749,0.800594549,0.812568481,12.05368804,10.82315784,0.896997101,0.945016369,-0.187162616,-0.074,0.673350908,0.662301111,0.575190608,0.589281338,BBB+,3T18,B,A-
0.00944,0.00807,0.163175376,0.126476694,0.0149,-0.000108,0.079,0.00197,7.266591243,6.937859894,4.919535592,6.320162304,0.156389143,0.151558379,0.827945025,0.811743164,15.18729175,11.65770178,1.345440389,1.018082685,0.399593688,0.0307,0.727460438,0.680798008,0.512008237,0.551010495,BBB+,4T18,B,A-
0.00951,0.00781,0.131765451,0.125163345,0.013804402,0.00261,0.0654,0.015152704,7.226181387,7.087935787,6.270635176,6.421441046,0.140337289,0.151448909,0.820926184,0.812033639,15.59023221,12.63860987,1.097680778,1.008708172,-0.0305,-0.0161,0.656086898,0.68198753,0.556456225,0.538616006,BBB+,1T19,B,A-
0.00429,0.00815,0.0994,0.129030253,-0.0167,0.00587,-0.081,0.0293,7.363143907,7.207335229,7.679859905,6.317797663,0.267473335,0.181502944,0.824463381,0.818482285,7.378190545,12.55235064,0.434538839,0.943664277,0.168899497,0.0877,0.660072409,0.679242663,0.448936297,0.523147842,BBB+,2T19,B,A-
0.0122,0.00886,0.139256131,0.133392311,0.0241,0.00905,0.120200559,0.0459,7.141546635,7.249365793,5.802507646,6.16813458,0.259236659,0.205859106,0.821164166,0.823624689,16.92661251,13.77058175,0.670088438,0.886937111,0.162399867,0.175107989,0.698165707,0.685446363,0.456691718,0.493523119,BBB+,3T19,B,A-
