Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda de Corto Plazo / Deuda Total,Deuda de Corto Plazo / Deuda Total (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),EBITDA del Trimestre Anualizado / Deuda Corto Plazo,EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Local Trad
1.44E-02,2.16E-01,1.650706669,0.115161488,0.310879839,16.77370762,2.30116669,2.224857321,9.8707,0.141465395,0.380597768,1.890135525,1.24E+01,1.05E-02,0.17151,2.119006346,0.188038531,0.308501465,12.73893774,0.774171204,1.87E+00,-1.34E+01,0.145869892,0.39813922,1.910588412,13.0242,BBB+,41547,BBB+,A+
1.16E-02,2.12E-01,1.840588921,0.224046692,0.322631193,16.48827609,1.129566166,1.67687039,83.8079,0.142623033,0.38489493,1.931546906,1.58E+01,1.30E-02,0.214299,1.745647795,0.162831369,0.31744135,16.63099186,0.857683214,1.97E+00,4.68E+01,0.142044214,0.382746349,1.917070541,14.0756,BBB+,41729,B-,A+
9.68E-03,0.170998,2.543816661,0.235370011,3.10E-01,1.26E+01,8.68E-01,1.749997893,-7.7745,0.153575809,0.369936511,1.871273894,11.574,0.010627549,0.191567,2.192202791,0.20424158,0.312639284,14.52749304,0.499441442,1.806537926,38.0167,0.148099421,0.377415721,1.893996174,13.6758,BBB+,41912,BBB-,A+
1.18E-04,7.58E-02,10.0087369,0.108585666,0.326640719,4.06E+00,5.68E-01,2.21E+00,-75.0961,0.020052201,0.265606458,1.93280564,1.18E+00,4.90E-03,0.123423,6.276276779,0.196797986,0.32494565,8.314397515,0.359047156,1.91E+00,-4.14E+01,0.086814005,0.317771485,1.926421201,6.379,BBB,42094,B,AA-
7.63E-03,1.39E-01,3.921752622,0.081055184,0.318141146,13.66079743,2.011805167,3.166378794,-35.2213,0.072197007,0.374276012,1.898743299,6.45E+00,5.81E-03,0.128485333,5.491435393,0.160367496,0.326202648,10.09653082,0.861998448,2.25E+00,-3.94E+01,0.081941672,0.336606327,1.925966965,6.402933333,BBB,42185,BB+,AA-
2.15E-03,1.02E-01,9.651140302,0.099746127,3.58E-01,6.004592169,0.676250557,3.039014009,-53.2176,0.133408752,0.236844697,2.079558174,1.13E+01,3.30E-03,0.105444,7.860543273,0.126461525,0.338238078,7.90915821,0.814011186,2.57E+00,-5.45E+01,0.07521932,0.292242389,1.978038035,6.305333333,BBB,42277,BB,AA-
-1.32E-04,5.88E-02,7.778866472,0.064919656,3.02E-01,2.249357434,0.525646576,2.795558379,-7.0979,0.254568968,0.175356887,1.971999088,1.61E+00,1.35E-03,0.105615,4.784279268,0.101057574,0.268297809,5.090162239,0.774493769,2.49E+00,-7.10E+00,0.202471496,0.19307792,1.905885937,2.5258,BBB-,42916,BB,AAA
1.31E-02,1.57E-01,1.87053921,0.203393793,3.33E-01,6.68E+00,1.29E+00,1.65E+00,65.5492,0.077998015,0.55645596,2.109500667,10.0776,-6.02E-03,-0.09034325,1.87053921,0.195365986,0.321244985,-3.771348429,-0.123832704,1.90E+00,6.55E+01,0.162158965,0.298768123,2.058973252,-3.0905,BBB-,43281,BB,AA
0.017957394,1.69E-01,1.80151732,0.119570763,0.299913586,19.98508574,2.536162897,1.742946543,96.1837,0.14903251,0.539459377,1.98802714,1.76E+01,1.39E-03,-0.000525,1.836028265,0.175098706,0.315382145,2.928241558,0.63474493,1.83E+00,8.09E+01,0.142629022,0.391258607,2.050324758,2.5853,BBB-,43373,BBB-,AA
4.90E-03,1.22E-01,2.557815942,0.07959816,0.296336414,12.83379853,2.634053547,1.77263019,81.032,0.039319373,0.508645987,1.962081133,1.94E+00,6.49E-03,0.0883765,2.076624157,0.149125413,0.311724815,8.751924698,1.520387155,1.74E+00,8.09E+01,0.130661223,0.462906786,2.035410707,6.2674,BBB-,43465,BB,AA-
7.98E-03,2.60E-01,2.224063423,0.14026084,3.70E-01,22.9999326,2.777966993,1.235146594,-6.4202,0.003523819,0.554060806,3.493460846,9.08E-01,7.71E-03,0.26477725,2.215830286,0.167070525,0.368453495,14.93712643,2.415604798,1.13E+00,1.64E+01,-0.126358487,0.547771425,3.536644772,-22.1412,B,42916.1,BB,AAA
6.61E-03,2.57E-01,2.196739334,0.141490311,3.74E-01,9.31E+00,2.78E+00,1.28E+00,17.5778,0.001408365,0.572610366,3.523726587,7.71E-01,8.37E-03,0.26441675,2.218625929,0.15269882,0.368363737,14.88256207,2.631200806,1.18E+00,1.71E+01,0.009228792,0.552659961,3.515882548,2.1229,B,43008,BB,AAA
1.67E-03,2.46E-01,2.179208017,0.205879736,0.377805417,13.57464729,1.742728514,1.190433547,30.5752,0.172522768,0.550615165,3.315466161,3.38E+01,7.26E-03,0.265821,2.115616608,0.160796763,0.371191542,15.66325087,2.576724833,1.21E+00,1.97E+01,0.044473382,0.560765075,3.457475679,9.0243,B+,43100,B+,AAA
8.27E-03,3.10E-01,1.70252502,0.185697501,0.36679529,17.88103137,2.501804235,1.209218788,37.6491,0.080015299,0.54918435,3.214826673,14.7656,0.006133675,0.26843225,2.075633948,0.168332097,0.372143011,15.94225061,2.451079454,1.23E+00,1.98E+01,0.064367563,0.556617672,3.386870067,12.5516,B+,43190,B+,AAA
0.002292085,2.66E-01,2.218877735,0.20440602,0.363972789,4.069554833,1.746792844,1.224099542,58.2416,0.021422276,0.48852645,3.140740252,2.9116,0.004711692,0.2699465,2.074337526,0.184368392,0.370720216,11.20965617,2.193285917,1.23E+00,3.60E+01,0.068842177,0.540234083,3.298689918,13.0525,B+,43281.1,B+,AAA
1.19E-02,3.00E-01,2.077895691,0.213059162,3.51E-01,6.47E+00,1.82E+00,1.174791833,114.1612,0.10894643,0.453663357,2.948859262,17.4668,0.006026566,0.28068475,2.044626616,0.202260605,0.364834572,10.49839072,1.953481888,1.20E+00,6.02E+01,0.095726693,0.510497331,3.154973087,17.2265,B+,43373.1,B+,AAA
8.74E-03,2.22E-01,2.150152895,0.193465402,0.337095178,13.51131569,1.995246122,1.164531288,88.6801,0.119019036,0.586610276,2.743195247,19.7648,0.007791672,0.2745935,2.037362835,0.199157021,0.354657012,10.48255782,2.01661129,1.19E+00,7.47E+01,0.08235076,0.519496108,3.011905358,13.7272,B+,43465.1,BB,AAA
3.53E-02,0.38718,-1.580630758,0.276456823,0.25639924,30.16662268,2.118504592,2.697242472,-0.5593,0.226746629,0.387847092,1.806529099,17.1612,0.036323325,0.4208315,-0.962602518,0.240966973,0.321225508,53.22187487,2.05980481,2.37E+00,1.41E+01,0.414702867,0.375086975,2.238347969,42.32786667,AA-,42004,BB+,BBB
1.02E-02,3.17E-01,-3.322147948,0.037837735,0.205896631,46.51778,11.1034902,3.582098205,-19.5222,0.166025825,0.272868921,1.622699523,7.4792,0.02665043,0.376405,-1.751147235,0.187346675,0.280643708,47.99016306,4.261382846,2.81E+00,2.19E+00,0.33980171,0.335450258,1.958849267,33.6157,AA-,42094.1,BB,BBB
1.83E-02,2.87E-01,-2.799980525,0.042954675,1.87E-01,4.87E+01,1.03E+01,3.40E+00,-17.943,1.523487281,0.287102035,1.53297644,72.2092,0.020610207,0.3292215,-2.471856306,0.145464782,0.231059348,41.87114522,6.251794505,3.17E+00,-1.02E+01,0.52404681,0.30938653,1.689268125,27.3822,AA-,42185.1,BB,BBB
1.83E-02,2.87E-01,-2.799980525,0.042954675,0.18694604,48.70429203,10.25693038,3.398166108,-17.943,1.523487281,0.287102035,1.53297644,72.2092,0.020509368,0.31949125,-2.625684939,0.100050977,0.209046988,43.52324669,8.433963886,3.27E+00,-1.40E+01,0.859936754,0.308730021,1.623795375,42.2647,AA-,42277.1,BBB,BBB
3.53E-02,3.97E-01,-1.165267921,0.052197608,0.154978049,115.3852555,18.57898182,2.530128514,35.1815,0.361809918,0.378894949,1.473144385,2.12E+01,0.020528519,0.3218625,-2.52184423,0.043986173,0.18369169,64.8279049,12.54908319,3.23E+00,-5.06E+00,0.893702576,0.306491985,1.540449197,43.2624,AA-,42369,BB,BBB
1.40E-02,3.95E-01,-1.515728629,0.074501047,0.158515571,74.93322303,8.88E+00,2.576336978,72.9543,0.221840887,0.2654301,1.460493149,8.552,2.15E-02,0.34137225,-2.0702394,0.053152001,0.171846425,71.93176566,11.99300291,2.98E+00,1.81E+01,0.907656342,0.30463228,1.499897603,43.5306,AA-,42460,BBB,BBB
2.15E-02,3.50E-01,-0.286050728,0.059145895,1.93E-01,7.20E+01,9.62E+00,1.86E+00,71.0015,0.234807489,0.313720516,1.584902889,11.2424,2.23E-02,0.35726825,-1.441756951,0.057199806,0.173402473,77.75725851,11.8346158,2.59E+00,4.03E+01,0.585486394,0.3112869,1.512879216,28.2889,AA-,42551,BB,BBB
0.019818055,3.87E-01,-0.431604179,0.062659629,0.193020627,79.47304472,9.617390194,2.021711082,86.3259,0.222296746,0.300542066,1.578104416,1.03E+01,2.27E-02,0.38230425,-0.849662864,0.062126045,0.17492112,85.44944668,11.67473076,2.25E+00,6.64E+01,0.26018876,0.314646908,1.52416121,12.8192,AA-,42643,BB,BBB
4.21E-02,4.37E-01,-0.547439757,0.150608313,0.18503013,132.8216289,6.806635124,1.820035423,57.9065,0.335317758,0.43391068,1.60407435,23.0596,0.024360208,0.39242375,-0.695205823,0.086728721,0.18243414,89.80854002,8.73164408,2.07E+00,7.20E+01,0.25356572,0.328400841,1.556893701,13.2961,AA-,42735,A,A-
2.05E-02,4.39E-01,-0.872408029,0.162396983,0.180998082,100.1597586,4.55E+00,1.946401339,134.4135,0.27597916,0.304483714,1.578219345,12.5672,0.025978236,0.40335075,-0.534375673,0.108702705,0.188054768,96.1151739,7.648120803,1.91E+00,8.74E+01,0.267100288,0.338164244,1.58632525,14.2999,AA-,42825,BB,BBB
3.22E-02,4.21E-01,-0.702393411,0.17633254,1.72E-01,1.06E+02,5.13E+00,1.74E+00,87.2836,0.292583293,0.369194098,1.582210556,16.8852,0.028655939,0.4208715,-0.638461344,0.137999366,0.182669878,104.494835,6.524863082,1.88E+00,9.15E+01,0.281544239,0.35203264,1.585652167,15.7106,AA-,42916.2,A,BBB
2.87E-02,4.15E-01,-0.800307149,0.178352628,0.158483408,122.5700761,5.59622559,1.712048455,72.4683,0.32052538,0.380924081,1.576743185,19.594,0.030864225,0.42792925,-0.730637086,0.166922616,0.174035573,115.2690929,5.519571931,1.81E+00,8.80E+01,0.306101398,0.372128143,1.585311859,18.0265,A+,43008.1,BB,BBB+
3.72E-02,3.74E-01,-0.762850887,0.049848837,0.181789686,147.2416978,19.2759412,1.966387663,33.4708,0.289938334,0.466821847,1.666230259,23.506,0.029648658,0.41219025,-0.784489869,0.141732747,0.173225462,118.8741101,8.636898451,1.84E+00,8.19E+01,0.294756542,0.380355935,1.600850836,18.1381,A+,43100.1,BB,BBB+
1.40E-02,3.23E-01,-1.059484899,0.048011597,0.175078508,68.00333891,1.33E+01,1.89E+00,18.0126,0.123829361,0.345446534,1.64312915,6.1532,0.028017793,0.3831365,-0.831259086,0.113136401,0.171745569,110.8350052,10.81449489,1.83E+00,5.28E+01,0.256719092,0.39059664,1.617078288,16.5346,A+,43190.1,BB,BBB+
1.01E-02,1.60E-01,-0.906290045,0.099157814,1.73E-01,4.28E+01,3.79E+00,1.44E+00,-38.4933,0.107760751,0.406295267,1.685721782,6.7324,0.022482057,0.31810275,-0.882233245,0.093842719,0.172172778,95.15529811,10.47990564,1.75E+00,2.14E+01,0.210513457,0.399871932,1.642956094,13.9964,A+,43281.2,BB,BBB+
0.010067005,0.160417,-0.906290045,0.099157814,0.173339509,42.8060796,3.79E+00,1.44E+00,-38.4933,0.107760751,4.06E-01,1.685721782,6.7324,0.017836009,2.54E-01,-9.09E-01,0.074044016,0.175886803,75.21429898,10.02884776,1.69E+00,-6.38E+00,0.1573223,0.406214729,1.670200743,10.781,A+,43373.2,BB,BBB+
3.22E-02,3.12E-01,-0.441461396,0.167669952,0.148215085,109.5889941,6.41E+00,1.25E+00,17.6387,0.282405907,5.11E-01,1.636489565,23.4516,0.016588277,2.39E-01,-8.28E-01,0.103499294,0.167493153,65.80112305,6.811998591,1.51E+00,-1.03E+01,0.155439193,0.417271012,1.66276557,10.7674,A+,43465.2,BB,BBB+
1.66E-02,4.45E-01,1.713127732,0.143483856,0.228392794,366.4180541,3.21E+00,1.84E+00,42.614,0.161508923,0.236568764,1.650682515,7.0012,0.020495816,4.04E-01,9.68E-01,0.313808052,0.189937637,395.3232187,9.063839437,2.38E+00,4.04E+01,0.152492342,0.277891461,1.57132679,8.1036,AA-,41547.1,B-,BBB-
0.014423347,4.08E-01,2.648520937,0.344733867,0.287541654,4.16E+02,9.17E-01,1.19E+00,6.9726,0.142391915,0.222695984,1.733770527,6.338,0.015658716,4.17E-01,2.00E+00,0.201689244,0.243232093,482.119664,3.353538154,1.74E+00,2.30E+01,0.133246969,0.234370941,1.664028307,5.8869,AA-,41729.1,B-,BBB-
1.39E-02,4.04E-01,2.92936497,0.024590482,0.308730301,953.747665,1.20E+01,2.97E+00,19.2933,0.141360703,0.226520463,1.806598974,6.2696,0.015605843,4.23E-01,2.37E+00,0.192058996,0.272630004,578.5692071,4.413908059,1.85E+00,2.27E+01,0.147909588,0.229424999,1.723329098,6.5158,AA-,41820,B-,A-
1.03E-02,3.82E-01,3.806907339,0.014456283,0.323189267,712.2095571,1.67E+01,3.03E+00,-14.1153,0.136918211,0.204234898,1.820605717,5.5304,0.014016398,4.07E-01,2.89E+00,0.159802103,0.296329122,693.8330414,7.787552376,2.15E+00,8.55E+00,0.14176191,0.221341532,1.765809898,6.1481,AA-,41912.1,B,A-
0.007377569,3.60E-01,4.78026461,0.00949546,0.337370893,985.998416,2.07E+01,3.53E+00,-34.8315,0.551875304,0.184287742,1.766881443,23.4076,0.011484918,3.89E-01,3.54E+00,0.098319023,0.314208029,766.8743851,12.59728461,2.68E+00,-5.67E+00,0.243136533,0.209434772,1.781964165,10.3864,AA-,42004.1,B+,BBB
-1.28E-03,1.78E-01,12.99141851,0.007109005,3.51E-01,2.32E+02,1.03E+01,3.14E+00,-69.149,-0.126153846,0.144212103,1.80723737,-3.748,0.00756015,3.31E-01,6.13E+00,0.013912808,0.330097866,720.9887345,14.94572684,3.17E+00,-2.47E+01,0.176000093,0.189813801,1.800330876,7.8649,AA-,42094.2,B+,BBB-
3.87E-03,3.39E-01,5.937510078,0.034440344,0.310288425,182.3996904,4.65E+00,2.48E+00,-36.1345,-0.634472511,0.146774985,1.748927243,-19.9412,0.002712249,2.84E-01,8.03E+00,0.016108819,0.326357295,466.7991355,11.02807377,3.14E+00,-4.97E+01,-0.093581206,0.152217744,1.745249531,-0.9659,AA-,42277.2,B,BBB
4.35E-03,3.07E-01,4.995753503,0.076269512,0.271833709,156.66639,2.43522886,1.97E+00,-16.3702,0.149019608,0.164357074,1.75096398,4.318,0.001955514,2.71E-01,8.082439537,0.032802332,0.309972999,190.3551268,6.456504013,2.75E+00,-4.50E+01,-0.19429513,0.147235077,1.741270166,-5.7383,AA-,42369.1,B+,BBB
