Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda de Corto Plazo / Deuda Total,Deuda de Corto Plazo / Deuda Total (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),EBITDA del Trimestre Anualizado / Deuda Corto Plazo,EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Local Trad
3.13E-02,3.29E-02,0.492664861,0.530531813,0.209569999,0.193616915,0.304397245,0.251875364,4.537584049,4.126918181,3.891871307,3.646318587,6.29E-03,5.91E-03,0.613757741,0.596212086,4.929474359,3.574711715,39.38378052,44.88951013,0.344383209,0.344383209,0.315600836,0.305965371,1.484492467,2.016638942,BBB+,3T18,B-,A
3.52E-02,3.42E-02,0.526521946,0.527968909,0.233290625,0.2295349,0.378230162,0.321083856,4.928764318,4.373207467,3.547670861,3.550919508,6.29E-03,6.28E-03,0.614441611,0.598545759,5.588343856,4.289999158,43.42693237,42.8902655,0.050208447,0.197295828,0.320100921,0.309499258,1.661503668,1.898508475,BBB+,4T18,B-,A
3.67E-02,3.44E-02,0.546963902,0.525977663,0.124751393,0.197602716,0.208763075,0.293517215,5.147270378,4.658440438,3.371515337,3.545919396,1.13E-02,7.54E-03,0.599535776,0.600031934,5.617688322,4.874100111,25.24936943,37.97112918,-2.51E-02,0.123177688,0.32894313,0.320010223,1.666330784,1.698604049,BBB+,1T19,B-,A
0.037840824,3.53E-02,0.533006962,0.524789418,0.246505145,0.203529291,0.446240895,0.334407844,5.305482767,4.979775378,3.329199516,3.535064255,1.55E-02,9.83E-03,0.605467974,0.608300776,5.716750646,5.463064296,18.96872108,31.75720085,8.47E-02,0.113558486,0.325110727,0.322438904,1.367612058,1.544984744,BBB+,2T19,B-,A
3.70E-02,3.67E-02,0.569454798,0.543986902,0.26233672,0.216720971,0.430094632,0.365832191,5.234561597,5.154019765,3.419302023,3.416921934,1.84E-02,1.29E-02,0.609847635,0.607323249,5.827767265,5.687637522,15.68028137,25.83132606,8.70E-02,4.92E-02,0.341207424,0.32884055,1.34651117,1.51048942,BBB+,3T19,B-,A
3.82E-02,3.75E-02,0.577496008,0.556730417,0.271461864,0.22626378,0.45093245,0.384007763,5.238234401,5.231387286,3.353013098,3.368257494,0.018233398,1.58E-02,0.614047504,0.607224722,6.124893419,5.821774913,16.2042177,19.02564739,8.63E-02,5.82E-02,0.31320207,0.327115838,1.316788837,1.424310712,BBB+,4T19,B-,A
3.24E-02,3.64E-02,0.506117346,0.546518778,0.225959354,0.251565771,0.380029781,0.42682444,5.333135079,5.277853461,3.881219855,3.495683623,1.71E-02,1.73E-02,0.619475578,0.612209673,5.65404588,5.830864303,14.98502546,16.4595614,6.46E-02,8.07E-02,0.317115693,0.324158978,1.267972331,1.324721099,BBB+,1T20,B-,A
3.23E-02,3.50E-02,0.506156114,0.539806066,0.224243183,0.24600028,0.384845453,0.411475579,5.454190005,5.315030271,3.941699614,3.648808648,1.59E-02,1.74E-02,0.627776218,0.617786734,5.789448663,5.849038807,15.87747994,15.68675112,0.024507873,6.56E-02,0.315358632,0.321720955,1.278866315,1.302534663,BBB+,2T20,B-,A
3.20E-02,3.37E-02,0.505983094,0.523938141,0.223949271,0.236403418,0.384546054,0.400088435,5.502511727,5.382017803,3.978106209,3.788509694,1.48E-02,1.65E-02,0.628130832,0.622357533,5.754307659,5.830673905,16.86835578,15.98376972,-4.00E-02,3.39E-02,0.314656601,0.315083249,1.256505944,1.280033357,BBB+,3T20,B-,A
3.07E-02,3.18E-02,0.499351975,0.504402132,0.217677997,0.222957451,0.370339508,0.379940199,5.564334311,5.46354278,4.132384091,3.983352442,0.013757628,1.54E-02,0.630927926,0.626577638,5.565620568,5.690855693,17.53396235,16.31620588,-0.10223824,-0.013283982,0.312059732,0.314797664,1.221960995,1.256326396,BBB+,4T20,B-,A
