Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda de Corto Plazo / Deuda Total,Deuda de Corto Plazo / Deuda Total (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),EBITDA del Trimestre Anualizado / Deuda Corto Plazo,EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Local Trad
9.39E-03,1.24E-01,4.487163829,0.207335749,0.43815311,14.33016842,0.797194651,0.76501262,71.738,-0.013908331,0.586120031,4.248816334,-2.75E+00,5.71E-03,0.1007356,6.824139558,0.222553146,0.461092109,11.42354718,0.600931924,6.20E-01,6.00E+01,-0.021975581,0.605611957,4.278860771,-4.80472,BBB+,4T13,BB,A-
1.46E-03,5.65E-02,9.905893646,0.174100307,4.07E-01,5.368411473,0.455167394,0.714367998,-36.6429,-0.01337094,0.57037248,3.897173555,-2.86E+00,5.64E-03,0.0988826,6.877444023,0.215092221,0.447756228,11.03319242,0.605093107,6.48E-01,5.05E+01,-0.021643793,0.58750259,4.26146824,-4.73352,BBB+,1T14,BB,A-
9.07E-05,5.06E-02,11.68479224,0.174741642,4.02E-01,6.914801257,0.394472885,0.653724005,-16.5277,-0.019828614,0.54796536,3.840650873,-3.92E+00,4.49E-03,0.087757,7.934385446,0.211655329,0.433807116,9.728998151,0.53411796,6.63E-01,3.24E+01,-0.028175418,0.569327599,4.250051247,-6.10272,BBB+,2T14,BB,A+
5.36E-03,1.34E-01,4.475587041,0.176651056,4.14E-01,1.68E+01,1.08E+00,6.03E-01,-25.8083,-0.035381937,0.590408801,4.246207098,-7.0664,5.25E-03,0.0966254,7.211857736,0.200647817,0.424816038,11.318533,0.657166146,6.69E-01,5.44E+00,-0.013311816,0.576702145,4.179020951,-2.38848,BBB+,3T14,BB,A+
0.019389995,1.96E-01,3.125460581,0.165693706,0.432351498,26.66590388,1.596579432,0.623463308,42.9518,0.032939484,0.582630613,4.548360846,9.38E+00,7.14E-03,0.1122156,6.735779467,0.179704492,0.418703566,14.00781751,0.865166208,6.72E-01,7.14E+00,-0.009910068,0.575499457,4.156241741,-1.44416,BBB+,4T14,BB,A+
1.23E-02,1.38E-01,4.981462854,0.169361349,0.465341499,16.00104666,1.001306839,0.582615169,113.1938,-0.014828968,0.57043825,4.958236192,-2.34E+00,7.73E-03,0.1151714,6.834639272,0.172109612,0.424141243,14.34199316,0.905988645,6.35E-01,1.54E+01,-0.010094195,0.572363101,4.298125713,-1.36176,BBB+,1T15,BB,A-
1.05E-04,1.04E-01,7.428055531,0.168278179,4.53E-01,9.949909559,0.653126066,0.60692047,-5.4725,-0.021511884,0.477544137,5.016296757,-4.80E+00,7.46E-03,0.1247044,6.339071649,0.170945186,0.433301246,15.25829278,0.94558038,6.14E-01,2.17E+01,-0.011722384,0.553797432,4.521950353,-1.74904,BBB+,2T15,BB,A+
7.29E-03,1.27E-01,5.965478171,0.173894103,4.94E-01,1.21E+01,7.97E-01,5.91E-01,1.1856,-0.046769418,0.539295769,6.087750516,-1.22E+01,8.90E-03,0.1399822,5.195208836,0.170775679,0.451756287,16.30519887,1.02601176,6.01E-01,2.52E+01,-0.017110544,0.552063514,4.971370282,-3.39552,BBB+,3T15,BB,A+
8.97E-03,1.53E-01,5.483055844,0.172222085,0.50269675,16.98986014,0.900577863,0.500428118,-39.7618,-0.007033801,0.510706067,6.16208416,-6.72E-01,9.62E-03,0.1436956,5.396702596,0.169889884,0.469482186,16.35121039,0.989643997,5.81E-01,2.24E+01,-0.011440917,0.536122967,5.354545694,-2.11664,BBB+,4T15,BB,A+
1.19E-02,1.83E-01,4.856824771,0.17182103,0.498195267,17.4523712,1.025293734,0.493975027,-3.2174,0.045745856,0.479664093,5.686109933,14.9372,0.008130942,0.1410284,5.742975434,0.171115349,0.48265094,14.50850386,0.875386858,5.55E-01,1.32E+01,-0.008879643,0.515529663,5.582095512,-1.00456,BBB+,1T16,BB,A+
