Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda de Corto Plazo / Deuda Total,Deuda de Corto Plazo / Deuda Total (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),EBITDA del Trimestre Anualizado / Deuda Corto Plazo,EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Local Trad
1.36178296906487E-02,1.32105139819194E-02,0.366750425269193,0.351845599184728,0.213865070935765,0.119926518808004,0.200110083774763,0.203922791541846,2.89622432851422,2.95140624031118,2.26053610529042,2.26053610529042,0.103765839970652,0.103765839970652,0.411589940548403,0.399279091305263,15.2137548132892,15.0843702383969,2.77426782171346,2.77426782171346,7.80656795747903E-03,7.80656795747903E-03,0.323070211747279,0.313407029341823,0.984662905996253,0.984662905996253,BBB+,2T17,BB,AAA
1.29858254283652E-02,1.25487271346138E-02,0.363232627604874,0.351502540657775,0.265090530040907,0.170386391271655,0.240346108561978,0.246917344993976,2.81183027338049,2.88870774663599,2.38576156944076,2.38576156944076,9.90858459341833E-02,9.90858459341833E-02,0.415912534829169,0.401913065921588,15.119456724853,14.8414758351115,2.8420060654867,2.8420060654867,-0.040082410268875,-0.040082410268875,0.322443613110596,0.311590275069115,0.998792844527017,0.998792844527017,BBB+,3T17,BB,AAA
1.09531623197758E-02,0.011199227217201,0.320980303617597,0.347704563294227,0.390954209607231,0.265916371427965,0.392690528512799,0.394235514617477,2.98243073742938,2.99416469512106,2.65676937441643,2.65676937441643,1.69528811759198E-02,1.69528811759198E-02,0.417525261582242,0.426905046859245,12.5739989425787,13.9005159155067,15.2723642931838,15.2723642931838,-0.125999673575975,-0.125999673575975,0.336786105650324,0.344352070265992,1.15184200079397,1.15184200079397,BBB+,4T17,B+,AA+
1.36524325835339E-02,0.013664095678757,0.367876823747494,0.35410487589812,0.248008642177694,0.281511604359071,0.232942477002645,0.235584007682174,2.85647183070788,2.88886376743456,2.31132953987134,2.31132953987134,1.66625077137336E-02,1.66625077137336E-02,0.409872210798452,0.410222359286245,15.2925039315045,15.102546135542,17.7119150012649,17.7119150012649,9.96230682246513E-02,9.96230682246513E-02,0.328815233116902,0.329096135685082,1.06711669596569,1.06711669596569,BBB+,1T18,BBB+,AA+
1.64324149748114E-02,1.66882756637862E-02,0.363728287980586,0.353739532197517,0.213769483705218,0.279050770113026,0.220676523860427,0.225408582994832,2.86095480369055,2.92230345589466,2.05491289306233,2.05491289306233,1.87785465654107E-02,1.87785465654107E-02,0.420341925039459,0.426886853141047,16.5122851370817,16.5467293431555,16.6269206077466,16.6269206077466,0.143338120688437,0.143338120688437,0.36082733346306,0.366445590443688,1.18713842066119,1.18713842066119,BBB+,2T18,BBB+,AA+
1.30171843502086E-02,0.012808834593387,0.365743804921097,0.354459157666106,0.236284409589104,0.271931653675252,0.215080210560418,0.221511847105546,2.72782688349173,2.80939827040332,2.20728861978307,2.20728861978307,2.20695586088278E-02,2.20695586088278E-02,0.416724920172729,0.410054926613169,14.6744724088503,14.6557670970206,13.2703519105875,13.2703519105875,5.94328019871222E-02,5.94328019871222E-02,0.333694140443907,0.328353116521697,1.1759857699829,1.1759857699829,BBB+,3T18,BBB+,AA+
2.10796045156767E-02,2.14422458074935E-02,0.475831337844872,0.392542401781428,0.347106132222801,0.260022308447269,0.318183105715731,0.3212466157955,2.84252297649383,2.86989117308892,1.99160897609816,1.99160897609816,1.71286517401618E-02,1.71286517401618E-02,0.4132789690118,0.42038878073012,17.1149532465295,18.8326723187704,21.676911402011,21.676911402011,0.422458761282291,0.422458761282291,0.322485985877095,0.328033847765314,1.00084908251917,1.00084908251917,BBB+,4T18,BBB+,AA-
1.15743838634745E-02,1.17855034317747E-02,0.371930994392012,0.393608240278969,0.243071228286144,0.258893578688428,0.219214993909303,0.217893800863508,2.90204867161118,2.88455823240757,2.85404934838072,2.85404934838072,2.33539653002159E-02,2.33539653002159E-02,0.408128369593914,0.415572730020877,14.4613594814692,14.1703630571304,12.1265417044108,12.1265417044108,-5.77017561900839E-03,-5.77017561900839E-03,0.31076493413985,0.316433361894824,0.937422416468398,0.937422416468398,BBB+,1T19,B+,AA-
1.32478458245706E-02,1.37735941472488E-02,0.378725172374072,0.398163119500639,0.264637397357205,0.272937191346419,0.251123334517503,0.247070331957429,3.04012480627115,2.99105874219377,2.66407141072573,2.66407141072573,2.07471320141039E-02,2.07471320141039E-02,0.436657884421719,0.453986901784915,14.2932111943485,14.6583776509858,13.0487597448618,13.0487597448618,-5.21303103313359E-02,-5.21303103313359E-02,0.312136416182744,0.324523728008981,1.10762907749331,1.10762907749331,BBB+,2T19,BBB+,A
1.25854045305287E-02,1.27211903621049E-02,0.354430338721691,0.394868533290438,0.229597359813081,0.270794927306733,0.213012484037124,0.219958160437831,2.84471370570728,2.93747099616286,2.58546177012286,2.58546177012286,9.43292959206695E-02,9.43292959206695E-02,0.407972805926609,0.412374486188761,10.2609319902053,12.7993330810249,3.00367322674182,3.00367322674182,1.25940600070484E-02,1.25940600070484E-02,0.326136647071254,0.3296553846472,0.933704742582004,0.933704742582004,BBB+,3T19,BB,AAA
